City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
351,Loikaw,MM,79.68,broken clouds,19.6742,97.2094,Myat Nan Taw Hotel
352,Careiro Da Varzea,BR,79.41,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
356,Colombo,LK,82.35,overcast clouds,6.9319,79.8478,Galle Face Hotel
359,Klamath Falls,US,80.13,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
360,Kalmunai,LK,84.02,overcast clouds,7.4167,81.8167,VS Villa
363,Hoa Binh,VN,86.43,scattered clouds,20.8133,105.3383,Hoa Dao Hotel
364,Altay,CN,77.04,clear sky,47.8667,88.1167,Jinqiao Hotel
368,Harper,LR,75.51,overcast clouds,4.375,-7.7169,Screensaver
370,Saint Pete Beach,US,85.01,clear sky,27.7253,-82.7412,Sirata Beach Resort
372,Bacolod,PH,83.25,moderate rain,10.6667,122.95,Planta Hotel & Residences
374,Lufilufi,WS,87.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
377,Sarangani,PH,82.58,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
382,Baghdad,IQ,82.31,clear sky,33.3406,44.4009,Baghdad Hotel
393,Shahrud,IR,80.64,clear sky,36.4182,54.9763,Royal Hotel
402,Papara,BR,77.4,few clouds,-3.9839,-38.7273,Bela vista Maranguape
403,Davila,PH,87.78,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
407,Manga,BF,77.13,scattered clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
408,Faanui,PF,78.17,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
409,Lompoc,US,75.34,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
412,Zeya,RU,77.65,few clouds,53.75,127.2667,Kapital Inn
413,Claresholm,CA,75.11,clear sky,50.0333,-113.5852,Bluebird Motel
418,Wichian Buri,TH,85.03,light rain,15.6578,101.106,Mit Sali Hotel
419,San Ignacio,BZ,78.94,clear sky,17.1561,-89.0714,Rainforest Haven Inn
421,Progreso,MX,82.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
422,San Ramon,US,79.27,clear sky,37.7799,-121.978,San Ramon Marriott
424,Beyneu,KZ,86.22,clear sky,45.3167,55.2,NUR
425,Shimoda,JP,84.56,light rain,34.6667,138.95,Shimoda Tokyu Hotel
427,Garmsar,IR,88.97,clear sky,35.2182,52.3409,مجتمع مرصاد
432,Victoria,HK,89.26,few clouds,22.2855,114.1577,Mini Central
441,Istisu,AZ,75.92,clear sky,40.9457,48.0738,Shirvan Resort (Halal)
442,Mahibadhoo,MV,81.34,broken clouds,3.7833,72.9667,Omadhoo Inn
445,Nurota,UZ,79.74,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
447,Madison,US,78.33,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
448,Samarai,PG,82.51,few clouds,-10.6167,150.6667,Nuli Sapi
449,Lensk,RU,76.78,overcast clouds,60.7253,114.9278,ТинОрС
