City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Mogadishu,SO,2.0371,45.3438,75.43,84,58,14.45,light rain
201,Donegal,IE,54.65,-8.1167,61.27,87,100,7.52,overcast clouds
202,Itarema,BR,-2.9248,-39.9167,78.82,79,94,14.45,overcast clouds
203,Bowen,AU,-20.0167,148.2333,70.07,61,34,4.92,scattered clouds
204,Nikolskoye,RU,59.7035,30.7861,64.29,98,93,5.03,overcast clouds
205,Svetlogorsk,BY,52.6333,29.7333,54.52,96,100,15.1,overcast clouds
206,Mana,GF,5.6592,-53.7767,77.72,87,99,6.78,overcast clouds
207,Golden,US,39.7555,-105.2211,73.0,60,60,1.99,broken clouds
208,Altamira,BR,-3.2033,-52.2064,75.72,78,91,2.59,overcast clouds
209,Kraljevo,RS,43.7258,20.6894,44.6,100,0,0.0,clear sky
210,Carnarvon,AU,-24.8667,113.6333,68.58,50,0,6.42,clear sky
211,Kollam,IN,8.8833,76.6,78.57,87,100,12.3,overcast clouds
212,Phan Thiet,VN,10.9333,108.1,81.86,76,97,12.3,overcast clouds
213,Mackenzie,CA,55.2999,-123.1698,61.02,77,75,12.66,broken clouds
214,San Patricio,US,28.017,-97.5169,87.17,72,11,13.85,few clouds
215,Berdigestyakh,RU,62.0989,126.6992,68.97,62,91,2.77,overcast clouds
216,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,86,92,7.43,overcast clouds
217,Dalby,AU,-27.1833,151.2667,55.83,59,98,10.42,overcast clouds
218,Saldanha,ZA,-33.0117,17.9442,51.85,85,11,6.67,few clouds
219,Korla,CN,41.7597,86.1469,81.61,30,95,7.63,overcast clouds
220,Norman Wells,CA,65.282,-126.8329,66.24,72,75,9.22,smoke
221,Kutum,SD,14.2,24.6667,72.12,72,96,14.99,overcast clouds
222,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,94,100,4.61,overcast clouds
223,Clyde River,CA,70.4692,-68.5914,39.43,100,100,16.11,mist
224,Esperance,AU,-33.8667,121.9,60.42,55,0,17.81,clear sky
225,Novaya Bryan,RU,51.7159,108.2691,76.71,33,12,4.41,few clouds
226,Khatanga,RU,71.9667,102.5,37.54,97,100,12.64,moderate rain
227,Narsaq,GL,60.9167,-46.05,41.02,90,43,3.83,scattered clouds
228,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,93,100,12.66,mist
229,Tazovskiy,RU,67.4667,78.7,51.12,61,13,9.73,few clouds
230,Jibuti,DJ,11.5,42.5,81.63,40,96,10.11,overcast clouds
231,Isla Vista,US,34.4133,-119.861,75.56,76,75,10.36,broken clouds
232,Waitati,NZ,-45.75,170.5667,47.8,87,100,12.95,overcast clouds
233,Lethem,GY,3.3803,-59.7968,74.41,91,64,6.82,broken clouds
234,Palmerston,AU,-12.486,130.9833,79.9,27,0,13.8,clear sky
235,Upernavik,GL,72.7868,-56.1549,38.86,84,21,5.14,few clouds
236,Isangel,VU,-19.55,169.2667,78.21,80,67,7.05,broken clouds
237,Lavrentiya,RU,65.5833,-171.0,44.98,88,100,2.89,overcast clouds
238,Port Moresby,PG,-9.4431,147.1797,87.22,62,40,5.75,haze
239,Aipe,CO,3.2222,-75.2367,77.79,69,100,1.7,overcast clouds
240,Haines Junction,CA,60.7522,-137.5108,58.95,44,100,11.5,overcast clouds
241,Manta,EC,-0.95,-80.7333,69.58,88,100,8.05,overcast clouds
242,Atamanovka,RU,51.93,113.63,61.23,86,100,3.8,moderate rain
243,Doha,QA,25.2867,51.5333,91.71,75,20,9.22,few clouds
244,Cooma,AU,-36.2333,149.1333,49.03,41,100,0.96,overcast clouds
245,Vostok,RU,46.4856,135.8833,69.58,89,47,3.04,scattered clouds
246,Abonnema,NG,4.7084,6.7931,74.41,86,100,4.0,overcast clouds
247,Luanda,AO,-8.8368,13.2343,66.2,94,20,4.61,few clouds
248,Cockburn Town,TC,21.4612,-71.1419,81.81,86,88,20.0,overcast clouds
249,Mayumba,GA,-3.432,10.6554,68.04,93,96,4.23,overcast clouds
250,Sao Francisco Do Sul,BR,-26.2433,-48.6381,74.03,94,75,4.61,mist
251,Arkhangelsk,RU,64.5401,40.5433,68.11,100,20,2.24,few clouds
252,Wilmington,US,34.2257,-77.9447,75.88,88,20,0.0,few clouds
253,Boende,CD,-0.2167,20.8667,72.59,78,96,2.13,overcast clouds
254,Narkevychi,UA,49.5172,26.6418,48.88,91,99,10.67,overcast clouds
255,Port Macquarie,AU,-31.4333,152.9167,58.57,66,100,3.65,light rain
256,Krasnoselkup,RU,65.7,82.4667,55.06,48,7,19.39,clear sky
257,Port Hardy,CA,50.6996,-127.4199,62.78,82,75,6.91,broken clouds
258,Provideniya,RU,64.3833,-173.3,50.36,81,100,8.99,overcast clouds
259,Kavieng,PG,-2.5744,150.7967,85.51,67,47,14.36,scattered clouds
260,Qandala,SO,11.472,49.8728,84.92,51,91,10.76,overcast clouds
261,Kununurra,AU,-15.7667,128.7333,75.18,17,10,12.66,clear sky
262,Baryshivka,UA,50.361,31.3217,55.45,92,82,10.6,light rain
263,Pevek,RU,69.7008,170.3133,50.88,53,88,5.01,overcast clouds
264,Hay River,CA,60.8156,-115.7999,73.38,49,75,3.44,broken clouds
265,Cayenne,GF,4.9333,-52.3333,78.1,1,100,0.0,overcast clouds
266,Asau,RO,46.4333,26.4,47.32,83,26,5.93,scattered clouds
267,Kaitangata,NZ,-46.2817,169.8464,44.35,93,100,16.53,moderate rain
268,Arraial Do Cabo,BR,-22.9661,-42.0278,70.56,92,17,26.37,few clouds
269,Voskresenskoye,RU,56.8381,45.4317,67.8,93,25,6.62,scattered clouds
270,Bonthe,SL,7.5264,-12.505,75.88,89,100,7.31,overcast clouds
271,Takoradi,GH,4.8845,-1.7554,75.38,84,100,10.25,overcast clouds
272,Codrington,AU,-38.2667,141.9667,54.25,58,46,3.02,scattered clouds
273,Murray Bridge,AU,-35.1167,139.2667,57.13,58,36,13.89,scattered clouds
274,Umm Kaddadah,SD,13.6017,26.6876,78.15,65,100,6.38,overcast clouds
275,Mago,RU,53.2514,140.1822,79.99,66,100,7.34,light rain
276,Ranong,TH,9.9658,98.6348,75.13,93,100,18.97,overcast clouds
277,Dossor,KZ,47.5272,52.9811,85.77,30,36,12.48,scattered clouds
278,Abu Kamal,SY,34.4506,40.9171,81.07,43,0,12.44,clear sky
279,Russell,US,32.3502,-85.1999,78.03,88,40,0.0,scattered clouds
280,Ust-Nera,RU,64.5667,143.2,76.1,51,89,3.56,overcast clouds
281,Nabire,ID,-3.3667,135.4833,79.38,85,100,2.08,overcast clouds
282,Ngunguru,NZ,-35.6167,174.5,61.65,72,4,15.84,clear sky
