City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Leh,IN,2022-07-05 19:31:38,34.1667,77.5833,63.37,59,62,1.77
242,Alofi,NU,2022-07-05 19:33:27,-19.0595,-169.9187,73.29,73,100,5.75
243,Tabou,CI,2022-07-05 19:33:28,4.423,-7.3528,77.56,79,62,9.55
244,Pringsewu,ID,2022-07-05 19:33:28,-5.3582,104.9744,73.09,97,80,2.48
245,Atar,MR,2022-07-05 19:33:29,20.5169,-13.0499,101.68,16,97,20.07
246,Mayor Pablo Lagerenza,PY,2022-07-05 19:33:29,-19.9309,-60.7718,95.32,25,63,11.81
247,Deputatskiy,RU,2022-07-05 19:33:29,69.3,139.9,41.7,64,95,2.66
248,Pemberton,CA,2022-07-05 19:33:30,50.3164,-122.8027,67.69,46,54,2.77
249,Kununurra,AU,2022-07-05 19:33:30,-15.7667,128.7333,46.38,76,6,0.0
250,Mayo,US,2022-07-05 19:33:31,38.8876,-76.5119,82.81,83,75,10.36
251,Yarmouth,US,2022-07-05 19:31:16,41.7057,-70.2286,73.54,82,100,8.05
252,Itarema,BR,2022-07-05 19:33:31,-2.9248,-39.9167,78.98,67,99,11.1
253,Mahebourg,MU,2022-07-05 19:33:32,-20.4081,57.7,68.29,73,40,5.75
254,Inongo,CD,2022-07-05 19:33:32,-1.95,18.2667,73.9,53,86,4.25
255,Victoria,HK,2022-07-05 19:28:50,22.2855,114.1577,84.38,88,100,10.0
256,Dalby,AU,2022-07-05 19:33:33,-27.1833,151.2667,47.98,99,100,4.5
257,Honiara,SB,2022-07-05 19:33:33,-9.4333,159.95,77.07,84,100,8.08
258,Palmer,US,2022-07-05 19:33:33,42.1584,-72.3287,79.25,69,100,5.75
259,Burnie,AU,2022-07-05 19:33:34,-41.0667,145.9167,46.94,77,98,10.4
260,Derby,GB,2022-07-05 19:33:34,52.9228,-1.4766,64.62,54,20,14.97
261,Maltahohe,NA,2022-07-05 19:33:35,-24.8333,16.9833,50.5,17,0,3.18
262,Rawson,AR,2022-07-05 19:33:35,-43.3002,-65.1023,54.64,32,0,26.66
263,Saint George,US,2022-07-05 19:28:44,37.1041,-113.5841,100.63,17,0,5.99
264,Sakhipur,BD,2022-07-05 19:33:36,24.3,90.1833,81.01,84,100,10.49
265,Noumea,NC,2022-07-05 19:33:36,-22.2763,166.4572,73.99,99,100,7.58
266,Fredericksburg,US,2022-07-05 19:32:42,38.3032,-77.4605,88.45,85,0,5.75
267,Tura,IN,2022-07-05 19:33:36,25.5198,90.2201,74.3,97,38,4.32
268,Vardo,NO,2022-07-05 19:32:24,70.3705,31.1107,51.78,93,75,9.22
269,Constitucion,CL,2022-07-05 19:33:37,-35.3333,-72.4167,53.08,70,78,7.38
270,Esfarayen,IR,2022-07-05 19:33:37,37.0765,57.5101,64.06,32,0,7.76
271,Sao Filipe,CV,2022-07-05 19:33:38,14.8961,-24.4956,75.24,84,44,6.67
272,Teguise,ES,2022-07-05 19:33:38,29.0605,-13.564,70.02,68,40,20.71
273,Paralimni,CY,2022-07-05 19:33:39,35.0375,33.9833,79.68,87,0,7.09
274,Avera,US,2022-07-05 19:33:39,33.194,-82.5271,93.25,36,60,3.56
275,Najran,SA,2022-07-05 19:33:39,17.4924,44.1277,90.25,41,85,8.66
276,Luau,AO,2022-07-05 19:33:40,-10.7073,22.2247,64.76,37,5,3.2
277,Omboue,GA,2022-07-05 19:33:40,-1.5746,9.2618,71.17,85,52,8.05
278,Karpathos,GR,2022-07-05 19:33:41,35.507,27.2132,73.36,88,20,26.46
279,Port Blair,IN,2022-07-05 19:31:43,11.6667,92.75,81.28,84,100,14.79
280,Chicama,PE,2022-07-05 19:34:41,-7.8447,-79.1469,63.14,62,2,10.51
281,Yaring,TH,2022-07-05 19:34:42,6.8662,101.3689,81.28,77,95,7.25
282,San Quintin,MX,2022-07-05 19:34:42,30.4833,-115.95,71.53,67,0,17.49
283,Port Hardy,CA,2022-07-05 19:30:09,50.6996,-127.4199,60.98,82,75,4.61
284,Aasiaat,GL,2022-07-05 19:34:43,68.7098,-52.8699,39.29,94,99,4.14
